Date,Fiscal Year,Fiscal Quarter,Month,Full Date
06-07-2018,FY2019,FY2019 Q1,20180701,"Jul 06, 2018"
07/07/2018,2019,FY2019 Q1,2018-07-01 00:00:00,07-07-2018
20180708,FY2019,FY2019 Q1,07/01/2018,2018-07-08
07/09/2018,FY2019,FY2019 Q1,2018-07-01 00:00:00,2018-07-09 00:00:00
"Jul 10, 2018",FY-2019,FY2019 Q1,07/01/2018,10-07-2018
2018-07-11,FY-2019,FY2019 Q1,20180701,2018-07-11
"Jul 12, 2018",FY2019,FY2019 Q1,2018-07-01 00:00:00,07/12/2018
"Jul 13, 2018",FY2019,FY2019 Q1,01-07-2018,"Jul 13, 2018"
07/14/2018,FY2019,FY2019 Q1,20180701,"Jul 14, 2018"
07/15/2018,FY2019,FY2019 Q1,2018-07-01,15-07-2018
07/16/2018,FY-2019,FY2019 Q1,"Jul 01, 2018",16-07-2018
2018-07-17,FY2019,FY2019 Q1,01-07-2018,07/17/2018
"Jul 18, 2018",2019,FY2019 Q1,01-07-2018,07/18/2018
20180719,FY2019,FY2019 Q1,07/01/2018,07/19/2018
2018-07-20,FY2019,FY2019 Q1,01-07-2018,20180720
2018-07-21,FY2019,FY2019 Q1,20180701,21-07-2018
"Jul 22, 2018",FY2019,FY2019 Q1,20180701,2018-07-22
"Jul 23, 2018",2019,FY2019 Q1,20180701,"Jul 23, 2018"
"Jul 24, 2018",2019,FY2019 Q1,2018-07-01 00:00:00,07/24/2018
07/25/2018,FY2019,FY2019 Q1,20180701,"Jul 25, 2018"
26-07-2018,FY2019,FY2019 Q1,"Jul 01, 2018",20180726
20180727,FY2019,FY2019 Q1,01-07-2018,07/27/2018
20180728,FY-2019,FY2019 Q1,"Jul 01, 2018",2018-07-28
2018-07-29,FY2019,FY2019 Q1,07/01/2018,20180729
2018-07-30 00:00:00,FY2019,FY2019 Q1,2018-07-01 00:00:00,30-07-2018
2018-07-31 00:00:00,FY2019,FY2019 Q1,"Jul 01, 2018",07/31/2018
20180801,FY2019,FY2019 Q1,01-08-2018,01-08-2018
02-08-2018,FY2019,FY2019 Q1,01-08-2018,08/02/2018
2018-08-03,FY-2019,FY2019 Q1,"Aug 01, 2018",2018-08-03 00:00:00
"Aug 04, 2018",FY2019,FY2019 Q1,08/01/2018,2018-08-04 00:00:00
2018-08-05 00:00:00,FY-2019,FY2019 Q1,20180801,08/05/2018
20180806,FY2019,FY2019 Q1,2018-08-01,08/06/2018
08/07/2018,FY2019,FY2019 Q1,"Aug 01, 2018",07-08-2018
2018-08-08,FY2019,FY2019 Q1,2018-08-01 00:00:00,08/08/2018
2018-08-09,FY-2019,FY2019 Q1,"Aug 01, 2018",09-08-2018
"Aug 10, 2018",FY2019,FY2019 Q1,2018-08-01 00:00:00,2018-08-10 00:00:00
"Aug 11, 2018",FY-2019,FY2019 Q1,08/01/2018,08/11/2018
2018-08-12 00:00:00,FY2019,FY2019 Q1,20180801,2018-08-12
2018-08-13 00:00:00,FY2019,FY2019 Q1,01-08-2018,2018-08-13 00:00:00
2018-08-14 00:00:00,FY2019,FY2019 Q1,01-08-2018,08/14/2018
20180815,FY2019,FY2019 Q1,"Aug 01, 2018","Aug 15, 2018"
08/16/2018,FY2019,FY2019 Q1,"Aug 01, 2018",16-08-2018
20180817,FY2019,FY2019 Q1,08/01/2018,2018-08-17 00:00:00
20180818,FY2019,FY2019 Q1,08/01/2018,20180818
"Aug 19, 2018",2019,FY2019 Q1,"Aug 01, 2018","Aug 19, 2018"
2018-08-20 00:00:00,FY2019,FY2019 Q1,20180801,20180820
08/21/2018,FY2019,FY2019 Q1,2018-08-01,21-08-2018
"Aug 22, 2018",FY2019,FY2019 Q1,01-08-2018,20180822
2018-08-23 00:00:00,FY2019,FY2019 Q1,08/01/2018,08/23/2018
2018-08-24 00:00:00,FY2019,FY2019 Q1,01-08-2018,"Aug 24, 2018"
2018-08-25,FY2019,FY2019 Q1,01-08-2018,2018-08-25
20180826,FY2019,FY2019 Q1,01-08-2018,20180826
"Aug 27, 2018",FY2019,FY2019 Q1,2018-08-01,08/27/2018
"Aug 28, 2018",FY2019,FY2019 Q1,08/01/2018,08/28/2018
20180829,FY2019,FY2019 Q1,01-08-2018,29-08-2018
2018-08-30,FY2019,FY2019 Q1,20180801,2018-08-30
2018-08-31,FY2019,FY2019 Q1,20180801,2018-08-31
20180901,FY2019,FY2019 Q1,2018-09-01 00:00:00,20180901
20180902,FY2019,FY2019 Q1,2018-09-01,2018-09-02 00:00:00
"Sep 03, 2018",FY2019,FY2019 Q1,09/01/2018,03-09-2018
2018-09-04 00:00:00,2019,FY2019 Q1,2018-09-01,2018-09-04 00:00:00
"Sep 05, 2018",FY2019,FY2019 Q1,20180901,05-09-2018
2018-09-06,FY2019,FY2019 Q1,"Sep 01, 2018",06-09-2018
09/07/2018,2019,FY2019 Q1,09/01/2018,2018-09-07 00:00:00
20180908,FY2019,FY2019 Q1,"Sep 01, 2018","Sep 08, 2018"
"Sep 09, 2018",FY2019,FY2019 Q1,01-09-2018,2018-09-09
2018-09-10,FY2019,FY2019 Q1,"Sep 01, 2018",10-09-2018
11-09-2018,FY-2019,FY2019 Q1,"Sep 01, 2018","Sep 11, 2018"
2018-09-12 00:00:00,FY2019,FY2019 Q1,"Sep 01, 2018",09/12/2018
09/13/2018,FY-2019,FY2019 Q1,2018-09-01,"Sep 13, 2018"
14-09-2018,FY2019,FY2019 Q1,20180901,14-09-2018
09/15/2018,FY2019,FY2019 Q1,2018-09-01,2018-09-15
"Sep 16, 2018",FY2019,FY2019 Q1,2018-09-01 00:00:00,20180916
2018-09-17 00:00:00,FY2019,FY2019 Q1,2018-09-01,2018-09-17 00:00:00
18-09-2018,2019,FY2019 Q1,09/01/2018,"Sep 18, 2018"
20180919,FY2019,FY2019 Q1,20180901,09/19/2018
20-09-2018,FY2019,FY2019 Q1,2018-09-01 00:00:00,"Sep 20, 2018"
"Sep 21, 2018",FY2019,FY2019 Q1,20180901,20180921
2018-09-22,FY2019,FY2019 Q1,09/01/2018,09/22/2018
20180923,2019,FY2019 Q1,09/01/2018,23-09-2018
"Sep 24, 2018",FY2019,FY2019 Q1,"Sep 01, 2018",2018-09-24 00:00:00
2018-09-25,FY2019,FY2019 Q1,01-09-2018,25-09-2018
2018-09-26 00:00:00,FY2019,FY2019 Q1,2018-09-01,"Sep 26, 2018"
20180927,FY2019,FY2019 Q1,09/01/2018,20180927
"Sep 28, 2018",FY-2019,FY2019 Q1,"Sep 01, 2018",2018-09-28 00:00:00
09/29/2018,FY2019,FY2019 Q1,2018-09-01 00:00:00,09/29/2018
09/30/2018,FY2019,FY2019 Q1,2018-09-01,"Sep 30, 2018"
2018-10-01 00:00:00,FY2019,FY2019 Q2,01-10-2018,10/01/2018
02-10-2018,FY2019,FY2019 Q2,10/01/2018,2018-10-02 00:00:00
2018-10-03,2019,FY2019 Q2,20181001,2018-10-03 00:00:00
2018-10-04 00:00:00,FY2019,FY2019 Q2,01-10-2018,20181004
"Oct 05, 2018",FY2019,FY2019 Q2,2018-10-01,2018-10-05
"Oct 06, 2018",FY2019,FY2019 Q2,2018-10-01 00:00:00,20181006
20181007,FY2019,FY2019 Q2,10/01/2018,10/07/2018
"Oct 08, 2018",FY2019,FY2019 Q2,20181001,2018-10-08 00:00:00
20181009,FY2019,FY2019 Q2,"Oct 01, 2018",2018-10-09 00:00:00
2018-10-10,FY-2019,FY2019 Q2,"Oct 01, 2018",10-10-2018
10/11/2018,FY2019,FY2019 Q2,2018-10-01,"Oct 11, 2018"
2018-10-12,FY2019,FY2019 Q2,"Oct 01, 2018",20181012
2018-10-13,FY2019,FY2019 Q2,2018-10-01 00:00:00,2018-10-13 00:00:00
"Oct 14, 2018",FY2019,FY2019 Q2,20181001,10/14/2018
2018-10-15,FY2019,FY2019 Q2,01-10-2018,20181015
"Oct 16, 2018",FY2019,FY2019 Q2,01-10-2018,2018-10-16
10/17/2018,FY2019,FY2019 Q2,2018-10-01,"Oct 17, 2018"
18-10-2018,2019,FY2019 Q2,2018-10-01,2018-10-18
"Oct 19, 2018",2019,FY2019 Q2,"Oct 01, 2018",19-10-2018
2018-10-20 00:00:00,FY2019,FY2019 Q2,20181001,20-10-2018
2018-10-21,FY2019,FY2019 Q2,2018-10-01,"Oct 21, 2018"
"Oct 22, 2018",FY2019,FY2019 Q2,"Oct 01, 2018",10/22/2018
"Oct 23, 2018",FY2019,FY2019 Q2,"Oct 01, 2018",2018-10-23 00:00:00
24-10-2018,FY2019,FY2019 Q2,20181001,10/24/2018
2018-10-25 00:00:00,FY2019,FY2019 Q2,2018-10-01,20181025
26-10-2018,FY2019,FY2019 Q2,20181001,10/26/2018
27-10-2018,2019,FY2019 Q2,2018-10-01 00:00:00,10/27/2018
"Oct 28, 2018",FY2019,FY2019 Q2,2018-10-01 00:00:00,2018-10-28 00:00:00
20181029,FY2019,FY2019 Q2,"Oct 01, 2018",2018-10-29 00:00:00
"Oct 30, 2018",FY2019,FY2019 Q2,10/01/2018,2018-10-30
"Oct 31, 2018",FY2019,FY2019 Q2,"Oct 01, 2018",20181031
2018-11-01,FY2019,FY2019 Q2,11/01/2018,20181101
02-11-2018,FY2019,FY2019 Q2,2018-11-01 00:00:00,02-11-2018
"Nov 03, 2018",FY2019,FY2019 Q2,2018-11-01,2018-11-03
11/04/2018,FY2019,FY2019 Q2,11/01/2018,2018-11-04
11/05/2018,2019,FY2019 Q2,11/01/2018,2018-11-05
06-11-2018,FY2019,FY2019 Q2,"Nov 01, 2018",06-11-2018
20181107,FY2019,FY2019 Q2,01-11-2018,11/07/2018
08-11-2018,FY-2019,FY2019 Q2,2018-11-01,11/08/2018
"Nov 09, 2018",FY2019,FY2019 Q2,11/01/2018,2018-11-09 00:00:00
20181110,FY2019,FY2019 Q2,2018-11-01 00:00:00,20181110
2018-11-11 00:00:00,FY2019,FY2019 Q2,20181101,2018-11-11 00:00:00
20181112,FY2019,FY2019 Q2,01-11-2018,2018-11-12
2018-11-13 00:00:00,FY-2019,FY2019 Q2,"Nov 01, 2018",11/13/2018
2018-11-14 00:00:00,FY2019,FY2019 Q2,01-11-2018,14-11-2018
11/15/2018,FY-2019,FY2019 Q2,11/01/2018,2018-11-15
20181116,FY2019,FY2019 Q2,01-11-2018,16-11-2018
2018-11-17,FY2019,FY2019 Q2,2018-11-01,20181117
11/18/2018,FY2019,FY2019 Q2,2018-11-01,20181118
2018-11-19,FY2019,FY2019 Q2,20181101,19-11-2018
11/20/2018,FY2019,FY2019 Q2,01-11-2018,20181120
2018-11-21,FY2019,FY2019 Q2,20181101,2018-11-21 00:00:00
2018-11-22 00:00:00,FY2019,FY2019 Q2,01-11-2018,"Nov 22, 2018"
"Nov 23, 2018",FY2019,FY2019 Q2,01-11-2018,"Nov 23, 2018"
2018-11-24 00:00:00,FY2019,FY2019 Q2,01-11-2018,2018-11-24 00:00:00
2018-11-25,FY2019,FY2019 Q2,20181101,2018-11-25 00:00:00
20181126,2019,FY2019 Q2,01-11-2018,20181126
2018-11-27 00:00:00,2019,FY2019 Q2,"Nov 01, 2018",11/27/2018
20181128,FY2019,FY2019 Q2,20181101,2018-11-28 00:00:00
2018-11-29 00:00:00,FY2019,FY2019 Q2,11/01/2018,20181129
2018-11-30 00:00:00,FY-2019,FY2019 Q2,2018-11-01 00:00:00,2018-11-30
20181201,FY-2019,FY2019 Q2,12/01/2018,12/01/2018
02-12-2018,FY2019,FY2019 Q2,"Dec 01, 2018",20181202
2018-12-03,FY2019,FY2019 Q2,2018-12-01,"Dec 03, 2018"
04-12-2018,FY-2019,,2018-12-01,"Dec 04, 2018"
2018-12-05 00:00:00,FY2019,FY2019 Q2,2018-12-01 00:00:00,"Dec 05, 2018"
"Dec 06, 2018",FY2019,FY2019 Q2,2018-12-01 00:00:00,20181206
"Dec 07, 2018",FY2019,FY2019 Q2,20181201,2018-12-07
20181208,FY2019,FY2019 Q2,2018-12-01 00:00:00,"Dec 08, 2018"
2018-12-09 00:00:00,2019,,2018-12-01 00:00:00,2018-12-09
2018-12-10 00:00:00,FY-2019,FY2019 Q2,2018-12-01,2018-12-10 00:00:00
11-12-2018,FY2019,FY2019 Q2,01-12-2018,11-12-2018
12/12/2018,2019,FY2019 Q2,20181201,12/12/2018
2018-12-13 00:00:00,FY2019,FY2019 Q2,2018-12-01,"Dec 13, 2018"
2018-12-14,FY2019,FY2019 Q2,01-12-2018,12/14/2018
"Dec 15, 2018",FY2019,FY2019 Q2,01-12-2018,"Dec 15, 2018"
20181216,FY2019,FY2019 Q2,20181201,"Dec 16, 2018"
2018-12-17 00:00:00,FY2019,FY2019 Q2,12/01/2018,"Dec 17, 2018"
"Dec 18, 2018",FY2019,FY2019 Q2,"Dec 01, 2018",2018-12-18 00:00:00
2018-12-19,FY2019,FY2019 Q2,2018-12-01 00:00:00,2018-12-19
2018-12-20 00:00:00,FY2019,FY2019 Q2,2018-12-01 00:00:00,12/20/2018
12/21/2018,FY2019,FY2019 Q2,01-12-2018,2018-12-21 00:00:00
20181222,FY2019,FY2019 Q2,2018-12-01,12/22/2018
"Dec 23, 2018",FY2019,FY2019 Q2,2018-12-01,2018-12-23 00:00:00
12/24/2018,FY2019,FY2019 Q2,"Dec 01, 2018",12/24/2018
2018-12-25 00:00:00,FY2019,FY2019 Q2,20181201,2018-12-25 00:00:00
26-12-2018,FY2019,FY2019 Q2,2018-12-01,"Dec 26, 2018"
2018-12-27 00:00:00,FY2019,FY2019 Q2,2018-12-01,20181227
12/28/2018,FY2019,FY2019 Q2,2018-12-01 00:00:00,28-12-2018
20181229,FY2019,FY2019 Q2,20181201,20181229
2018-12-30,FY2019,FY2019 Q2,20181201,2018-12-30 00:00:00
12/31/2018,2019,FY2019 Q2,2018-12-01,2018-12-31 00:00:00
20190101,FY2019,FY2019 Q3,20190101,01-01-2019
2019-01-02 00:00:00,FY-2019,FY2019 Q3,2019-01-01 00:00:00,01/02/2019
"Jan 03, 2019",FY2019,FY2019 Q3,2019-01-01,2019-01-03 00:00:00
"Jan 04, 2019",FY2019,FY2019 Q3,2019-01-01 00:00:00,20190104
20190105,FY2019,FY2019 Q3,01-01-2019,20190105
2019-01-06,FY2019,FY2019 Q3,01/01/2019,06-01-2019
07-01-2019,2019,FY2019 Q3,2019-01-01,07-01-2019
2019-01-08,FY2019,FY2019 Q3,20190101,08-01-2019
09-01-2019,2019,FY2019 Q3,20190101,2019-01-09
10-01-2019,FY2019,FY2019 Q3,20190101,01/10/2019
20190111,FY2019,FY2019 Q3,2019-01-01,2019-01-11 00:00:00
"Jan 12, 2019",FY2019,FY2019 Q3,2019-01-01 00:00:00,12-01-2019
2019-01-13 00:00:00,FY2019,FY2019 Q3,01/01/2019,20190113
2019-01-14,FY2019,FY2019 Q3,01-01-2019,01/14/2019
01/15/2019,FY2019,FY2019 Q3,01-01-2019,01/15/2019
2019-01-16 00:00:00,2019,FY2019 Q3,2019-01-01 00:00:00,01/16/2019
2019-01-17 00:00:00,2019,FY2019 Q3,01-01-2019,2019-01-17
20190118,FY2019,FY2019 Q3,20190101,"Jan 18, 2019"
01/19/2019,FY2019,FY2019 Q3,"Jan 01, 2019",2019-01-19 00:00:00
2019-01-20 00:00:00,2019,FY2019 Q3,20190101,01/20/2019
2019-01-21,FY-2019,FY2019 Q3,2019-01-01 00:00:00,21-01-2019
22-01-2019,FY-2019,FY2019 Q3,"Jan 01, 2019",20190122
01/23/2019,FY2019,FY2019 Q3,2019-01-01,23-01-2019
2019-01-24,FY2019,FY2019 Q3,"Jan 01, 2019",2019-01-24 00:00:00
20190125,FY2019,FY2019 Q3,2019-01-01,25-01-2019
2019-01-26 00:00:00,FY2019,FY2019 Q3,01-01-2019,01/26/2019
27-01-2019,FY2019,FY2019 Q3,01/01/2019,"Jan 27, 2019"
20190128,FY2019,FY2019 Q3,01/01/2019,"Jan 28, 2019"
01/29/2019,FY2019,FY2019 Q3,2019-01-01 00:00:00,2019-01-29 00:00:00
30-01-2019,FY2019,FY2019 Q3,20190101,2019-01-30 00:00:00
20190131,FY2019,FY2019 Q3,"Jan 01, 2019",20190131
"Feb 01, 2019",FY2019,FY2019 Q3,20190201,2019-02-01
"Feb 02, 2019",FY2019,FY2019 Q3,01-02-2019,02/02/2019
03-02-2019,FY2019,FY2019 Q3,20190201,"Feb 03, 2019"
2019-02-04 00:00:00,FY2019,FY2019 Q3,01-02-2019,2019-02-04
05-02-2019,FY2019,FY2019 Q3,01-02-2019,20190205
02/06/2019,FY2019,FY2019 Q3,01-02-2019,2019-02-06
02/07/2019,FY2019,FY2019 Q3,20190201,"Feb 07, 2019"
2019-02-08,FY-2019,FY2019 Q3,2019-02-01,2019-02-08 00:00:00
20190209,FY2019,FY2019 Q3,20190201,20190209
"Feb 10, 2019",FY2019,FY2019 Q3,"Feb 01, 2019",2019-02-10
02/11/2019,FY2019,FY2019 Q3,02/01/2019,2019-02-11 00:00:00
20190212,FY2019,FY2019 Q3,01-02-2019,20190212
02/13/2019,FY2019,FY2019 Q3,02/01/2019,"Feb 13, 2019"
2019-02-14 00:00:00,FY2019,FY2019 Q3,20190201,"Feb 14, 2019"
2019-02-15,FY2019,FY2019 Q3,2019-02-01,2019-02-15 00:00:00
16-02-2019,FY2019,FY2019 Q3,01-02-2019,02/16/2019
2019-02-17 00:00:00,FY2019,FY2019 Q3,02/01/2019,"Feb 17, 2019"
"Feb 18, 2019",FY2019,FY2019 Q3,02/01/2019,"Feb 18, 2019"
20190219,FY2019,FY2019 Q3,"Feb 01, 2019",19-02-2019
20190220,FY2019,FY2019 Q3,"Feb 01, 2019",20-02-2019
20190221,FY2019,FY2019 Q3,02/01/2019,2019-02-21
02/22/2019,FY2019,FY2019 Q3,2019-02-01 00:00:00,2019-02-22
2019-02-23,FY2019,FY2019 Q3,01-02-2019,20190223
"Feb 24, 2019",FY2019,FY2019 Q3,"Feb 01, 2019",2019-02-24 00:00:00
25-02-2019,2019,FY2019 Q3,2019-02-01 00:00:00,"Feb 25, 2019"
2019-02-26,FY-2019,FY2019 Q3,"Feb 01, 2019",02/26/2019
20190227,FY2019,FY2019 Q3,20190201,"Feb 27, 2019"
"Feb 28, 2019",FY2019,FY2019 Q3,"Feb 01, 2019",2019-02-28 00:00:00
01-03-2019,FY2019,FY2019 Q3,20190301,03/01/2019
2019-03-02 00:00:00,FY2019,FY2019 Q3,20190301,"Mar 02, 2019"
20190303,FY2019,FY2019 Q3,2019-03-01 00:00:00,03/03/2019
04-03-2019,FY2019,FY2019 Q3,2019-03-01,2019-03-04
2019-03-05,FY2019,FY2019 Q3,"Mar 01, 2019",20190305
2019-03-06,FY-2019,FY2019 Q3,2019-03-01 00:00:00,03/06/2019
07-03-2019,FY2019,FY2019 Q3,2019-03-01 00:00:00,"Mar 07, 2019"
20190308,FY2019,FY2019 Q3,2019-03-01 00:00:00,"Mar 08, 2019"
20190309,FY2019,FY2019 Q3,2019-03-01,2019-03-09 00:00:00
10-03-2019,FY2019,FY2019 Q3,"Mar 01, 2019",20190310
20190311,2019,FY2019 Q3,20190301,2019-03-11
20190312,FY2019,FY2019 Q3,01-03-2019,12-03-2019
03/13/2019,FY2019,FY2019 Q3,"Mar 01, 2019",2019-03-13 00:00:00
2019-03-14,FY2019,FY2019 Q3,"Mar 01, 2019",03/14/2019
"Mar 15, 2019",2019,FY2019 Q3,2019-03-01,20190315
"Mar 16, 2019",FY2019,FY2019 Q3,01-03-2019,"Mar 16, 2019"
2019-03-17 00:00:00,FY2019,FY2019 Q3,2019-03-01,17-03-2019
20190318,FY2019,FY2019 Q3,01-03-2019,2019-03-18 00:00:00
"Mar 19, 2019",FY2019,FY2019 Q3,2019-03-01 00:00:00,20190319
2019-03-20 00:00:00,FY2019,FY2019 Q3,2019-03-01,2019-03-20
21-03-2019,FY2019,FY2019 Q3,03/01/2019,2019-03-21
20190322,FY2019,FY2019 Q3,20190301,03/22/2019
23-03-2019,FY2019,FY2019 Q3,03/01/2019,20190323
2019-03-24 00:00:00,FY2019,FY2019 Q3,01-03-2019,2019-03-24 00:00:00
03/25/2019,FY2019,FY2019 Q3,"Mar 01, 2019",03/25/2019
26-03-2019,FY2019,FY2019 Q3,20190301,2019-03-26 00:00:00
27-03-2019,FY-2019,FY2019 Q3,01-03-2019,2019-03-27
2019-03-28 00:00:00,FY2019,FY2019 Q3,01-03-2019,28-03-2019
29-03-2019,FY2019,FY2019 Q3,2019-03-01,20190329
03/30/2019,FY2019,FY2019 Q3,03/01/2019,"Mar 30, 2019"
31-03-2019,FY2019,FY2019 Q3,2019-03-01 00:00:00,31-03-2019
01-04-2019,FY2019,FY2019 Q4,20190401,2019-04-01 00:00:00
"Apr 02, 2019",FY2019,FY2019 Q4,2019-04-01,2019-04-02 00:00:00
20190403,FY-2019,FY2019 Q4,"Apr 01, 2019",20190403
20190404,FY2019,FY2019 Q4,04/01/2019,04/04/2019
20190405,2019,FY2019 Q4,20190401,05-04-2019
04/06/2019,FY-2019,FY2019 Q4,"Apr 01, 2019",2019-04-06 00:00:00
"Apr 07, 2019",FY2019,FY2019 Q4,2019-04-01,2019-04-07
04/08/2019,FY2019,FY2019 Q4,04/01/2019,2019-04-08 00:00:00
"Apr 09, 2019",FY2019,FY2019 Q4,04/01/2019,"Apr 09, 2019"
"Apr 10, 2019",FY2019,FY2019 Q4,2019-04-01 00:00:00,20190410
2019-04-11,FY2019,FY2019 Q4,2019-04-01 00:00:00,"Apr 11, 2019"
20190412,FY2019,FY2019 Q4,"Apr 01, 2019",12-04-2019
04/13/2019,FY2019,FY2019 Q4,04/01/2019,2019-04-13
04/14/2019,FY2019,FY2019 Q4,2019-04-01,04/14/2019
2019-04-15 00:00:00,2019,FY2019 Q4,"Apr 01, 2019",04/15/2019
20190416,2019,FY2019 Q4,2019-04-01 00:00:00,16-04-2019
20190417,2019,FY2019 Q4,2019-04-01 00:00:00,04/17/2019
"Apr 18, 2019",FY2019,FY2019 Q4,01-04-2019,"Apr 18, 2019"
19-04-2019,FY2019,FY2019 Q4,01-04-2019,"Apr 19, 2019"
2019-04-20,FY2019,FY2019 Q4,04/01/2019,"Apr 20, 2019"
20190421,FY2019,FY2019 Q4,2019-04-01,"Apr 21, 2019"
2019-04-22 00:00:00,FY2019,FY2019 Q4,2019-04-01 00:00:00,"Apr 22, 2019"
2019-04-23,FY2019,FY2019 Q4,04/01/2019,2019-04-23 00:00:00
2019-04-24,FY2019,FY2019 Q4,2019-04-01,2019-04-24
25-04-2019,FY2019,FY2019 Q4,04/01/2019,2019-04-25 00:00:00
26-04-2019,FY2019,FY2019 Q4,01-04-2019,"Apr 26, 2019"
2019-04-27,FY2019,FY2019 Q4,2019-04-01 00:00:00,"Apr 27, 2019"
04/28/2019,FY2019,FY2019 Q4,01-04-2019,"Apr 28, 2019"
"Apr 29, 2019",FY2019,FY2019 Q4,01-04-2019,20190429
04/30/2019,FY2019,FY2019 Q4,20190401,2019-04-30
20190501,FY2019,FY2019 Q4,"May 01, 2019","May 01, 2019"
2019-05-02 00:00:00,FY2019,,"May 01, 2019",2019-05-02
05/03/2019,FY2019,FY2019 Q4,"May 01, 2019",2019-05-03
"May 04, 2019",FY2019,FY2019 Q4,2019-05-01,2019-05-04
20190505,FY2019,FY2019 Q4,2019-05-01,20190505
2019-05-06 00:00:00,FY2019,,20190501,2019-05-06
"May 07, 2019",FY-2019,FY2019 Q4,05/01/2019,07-05-2019
"May 08, 2019",FY2019,FY2019 Q4,01-05-2019,"May 08, 2019"
05/09/2019,FY2019,FY2019 Q4,20190501,2019-05-09 00:00:00
05/10/2019,FY2019,FY2019 Q4,20190501,05/10/2019
"May 11, 2019",FY2019,FY2019 Q4,"May 01, 2019",05/11/2019
05/12/2019,FY2019,FY2019 Q4,20190501,2019-05-12 00:00:00
05/13/2019,FY-2019,FY2019 Q4,05/01/2019,20190513
"May 14, 2019",FY2019,FY2019 Q4,05/01/2019,2019-05-14
2019-05-15 00:00:00,2019,FY2019 Q4,2019-05-01,05/15/2019
"May 16, 2019",FY2019,FY2019 Q4,20190501,20190516
"May 17, 2019",2019,FY2019 Q4,2019-05-01 00:00:00,"May 17, 2019"
20190518,FY2019,FY2019 Q4,05/01/2019,2019-05-18
05/19/2019,FY2019,FY2019 Q4,20190501,"May 19, 2019"
05/20/2019,FY2019,FY2019 Q4,01-05-2019,2019-05-20 00:00:00
21-05-2019,FY2019,FY2019 Q4,20190501,21-05-2019
2019-05-22 00:00:00,FY2019,FY2019 Q4,"May 01, 2019","May 22, 2019"
23-05-2019,FY2019,FY2019 Q4,05/01/2019,2019-05-23 00:00:00
20190524,FY2019,FY2019 Q4,20190501,"May 24, 2019"
2019-05-25 00:00:00,FY2019,FY2019 Q4,2019-05-01 00:00:00,25-05-2019
"May 26, 2019",FY-2019,FY2019 Q4,2019-05-01,26-05-2019
2019-05-27 00:00:00,FY2019,,2019-05-01 00:00:00,27-05-2019
20190528,FY2019,FY2019 Q4,2019-05-01 00:00:00,05/28/2019
05/29/2019,FY2019,FY2019 Q4,01-05-2019,20190529
"May 30, 2019",FY2019,FY2019 Q4,2019-05-01,05/30/2019
20190531,FY2019,FY2019 Q4,2019-05-01,2019-05-31
20190601,FY2019,FY2019 Q4,01-06-2019,06/01/2019
2019-06-02,FY2019,FY2019 Q4,2019-06-01,06/02/2019
2019-06-03,2019,FY2019 Q4,06/01/2019,20190603
06/04/2019,FY2019,FY2019 Q4,20190601,2019-06-04 00:00:00
05-06-2019,FY2019,FY2019 Q4,20190601,2019-06-05 00:00:00
20190606,FY-2019,FY2019 Q4,20190601,20190606
07-06-2019,2019,FY2019 Q4,20190601,20190607
20190608,FY2019,FY2019 Q4,20190601,20190608
09-06-2019,2019,FY2019 Q4,20190601,06/09/2019
2019-06-10 00:00:00,FY2019,FY2019 Q4,"Jun 01, 2019","Jun 10, 2019"
"Jun 11, 2019",FY2019,FY2019 Q4,01-06-2019,06/11/2019
2019-06-12,FY2019,FY2019 Q4,"Jun 01, 2019",2019-06-12
"Jun 13, 2019",FY-2019,FY2019 Q4,2019-06-01 00:00:00,2019-06-13 00:00:00
14-06-2019,FY2019,FY2019 Q4,2019-06-01 00:00:00,"Jun 14, 2019"
06/15/2019,FY2019,FY2019 Q4,2019-06-01 00:00:00,2019-06-15
20190616,FY2019,FY2019 Q4,06/01/2019,2019-06-16 00:00:00
2019-06-17 00:00:00,FY2019,FY2019 Q4,2019-06-01 00:00:00,"Jun 17, 2019"
2019-06-18,FY2019,FY2019 Q4,06/01/2019,2019-06-18
2019-06-19 00:00:00,FY2019,FY2019 Q4,2019-06-01 00:00:00,19-06-2019
20-06-2019,FY2019,FY2019 Q4,06/01/2019,06/20/2019
"Jun 21, 2019",FY2019,FY2019 Q4,01-06-2019,"Jun 21, 2019"
06/22/2019,FY2019,FY2019 Q4,"Jun 01, 2019",22-06-2019
20190623,FY2019,FY2019 Q4,20190601,2019-06-23 00:00:00
06/24/2019,FY2019,FY2019 Q4,20190601,06/24/2019
20190625,FY2019,FY2019 Q4,06/01/2019,2019-06-25
06/26/2019,FY2019,FY2019 Q4,20190601,"Jun 26, 2019"
2019-06-27 00:00:00,FY2019,FY2019 Q4,2019-06-01,20190627
28-06-2019,2019,FY2019 Q4,"Jun 01, 2019","Jun 28, 2019"
2019-06-29,2019,,20190601,20190629
2019-06-30 00:00:00,FY2019,FY2019 Q4,20190601,30-06-2019
20210401,FY2021,FY2021 Q4,01-04-2021,20210401
2021-04-02,FY-2021,FY2021 Q4,01-04-2021,"Apr 02, 2021"
2021-04-03,FY2021,FY2021 Q4,20210401,2021-04-03 00:00:00
2021-04-04 00:00:00,FY2021,FY2021 Q4,"Apr 01, 2021",04-04-2021
2021-04-05,FY2021,FY2021 Q4,2021-04-01,04/05/2021
